,Ось1,Ось2,Ось3,Ось4,Ось5,Ось6
wall2comment5_3,-0.44822892448608076,0.014331068703225824,0.2598589712437707,-0.3067268961624341,-0.2858211084224138,-0.1308840184578148
wall2comment5_4,-0.474661328139433,0.07054314784821171,0.7082441684573957,0.27121815042413944,-0.8211622160921029,0.05104031490902465
wall2comment5_5,-0.4209520460192833,1.3045889300077707,-0.35877492793369975,-0.05409033000998248,-0.2028182099997471,0.1557121802730624
wall2comment5___MISSING__,2.0651582391037806,0.023165039302892775,0.009289696597217184,-0.019106949146580957,0.011201097302269907,-0.013877605606438847
private3_1,-0.46336075804312993,0.41373249211991503,0.15082317825084585,0.07340282140331697,0.1216898347478475,-0.042453370133221584
private3_2,-0.47076324150559795,-0.34041463392396737,0.1312907809816899,-0.2228826471124065,-0.19545462995682958,0.07035636325437028
private3_3,-0.47564630804123315,-0.3119068631841472,-0.22613013755856212,-0.08426633612393529,-0.1345526236286097,-0.08488358992039273
private3_4,-0.467950022469498,-0.044961730402868,-1.00771963052969,0.7535502657927031,-0.3430900531029803,0.2715470148824885
private3_5,-0.4706620393647324,-0.6131177292270349,-0.19625432837146953,-0.04300451669631409,-0.08925960663868146,0.10456196381862873
private3___MISSING__,1.9848449059626054,0.04375797359610389,0.007419785524803199,-0.03044169242993032,0.019691900800655367,-0.02794297342868761
private4_1,-0.46419374365910165,0.5341713527705458,0.19547499698555323,0.09336206395189925,0.10900882089935444,-0.05040547779245853
private4_2,-0.4697639928902298,-0.16280518621170811,0.321131504641097,-0.14343506662147334,0.07700126365832935,0.09837013042303623
private4_3,-0.4737378787596806,-0.44804263284754114,-0.21756340454109938,-0.0848098848135627,-0.08177965527184518,0.024338337735691204
private4_4,-0.46596876034175183,-0.3211576818706531,-0.37667459196286057,0.1298977175535673,-0.12511528428284585,-0.04915891201581199
private4_5,-0.44779355784725017,0.6053500739718888,-0.7107713365782123,0.2658778689388449,-1.668276022938408,1.1440769201434817
private4___MISSING__,1.9741210721236817,0.051902285228743385,0.009269414044219559,-0.024869719063005172,0.008154335277182432,-0.02353023312907375
private5_1,-0.46091453711513647,0.9078256898334441,0.2268055790978094,0.06104102087503492,0.08466767318122378,0.0014136017409998004
private5_2,-0.4738043832310177,-0.11229844575206453,0.24513798300312753,-0.013118606481081546,0.04570970903547199,-0.11106372464181818
private5_3,-0.4755555084726573,-0.36154940344735775,-0.14806608422337764,-0.12957351948346948,0.0068319168805881835,0.04124082563085166
private5_4,-0.47063949550422357,-0.27611868815583335,-0.18084623477321046,0.13282410753188093,-0.12053559373106054,0.024742276406002378
private5_5,-0.4715614966231093,0.16374469088065585,-1.1216332014957002,0.7999135639894462,-0.46275024071653165,0.590434756645852
private5___MISSING__,1.9146061695459788,0.059468622934307026,0.01662786883588331,-0.018002820650971415,0.008020035202483747,-0.014819461930792865
private6_1,-0.4665950301091745,0.4541421267473906,0.13504666442017602,0.05663757667132885,0.07858299405691115,0.08039834924862803
private6_2,-0.46008221096193475,0.6032713826438094,0.13144983890054504,0.2030952219866514,-0.01328056136127051,-0.04080491010329378
private6_3,-0.4701378452658948,0.0733419861342589,-0.04186650475820689,0.09541101274244715,-0.0123808914184838,-0.09165901636482388
private6_5,-0.473534650784691,0.10475203260116407,0.1631243799027838,-0.0026929698830413717,-0.004109565678138888,-0.05370029684238037
private6_6,-0.4788483944702472,-0.5707405143593329,-0.21201383543527014,-0.14543134552337292,-0.011631772888548851,0.11258754807437785
private6___MISSING__,1.8563388721963114,0.07869094196248501,0.02054388517766306,-0.014624786126429251,0.0027354143257716365,-0.020650368218505088
wall3___MISSING__,1.9299232048318973,0.06117835488398997,0.011603353831876554,-0.01768109073102382,0.005672806520781602,-0.020995317860814672
wall3_Скачай отсюда: www.bestsoft.com,-0.4619708148323513,0.4576825040483602,0.11526153184259724,-0.01820749150612801,0.1483647250971918,-0.07753330847471175
wall3_Скачай отсюда: www.editvideo.com,-0.47421571714287974,-0.26217923813757504,-0.003098901025943907,-0.07559563649382137,-0.05018995055898887,-0.021905413890890377
wall3_Скачай отсюда: www.videoavi.com,-0.4695341040991795,0.0773464528922843,-0.044998462889925935,0.09712835503774192,-0.0034719212650660917,0.06348589009774734
wall4___MISSING__,1.8837428163932748,0.07087929236604687,0.01928942643256277,-0.017771794025999547,0.004919362345410395,-0.01892768749674227
"wall4_Давайте все напишут свои номера телефонов, а мы им позвоним",-0.4538894798543283,1.2184387748738839,-0.08482265241365093,-0.11374259302234326,-0.30343972638428357,0.38187549454056513
"wall4_Пусть напишут тебе в личные сообщения, что у них есть",-0.47345582159916355,-0.13645791762546094,-0.01338953317340668,-0.07351705286242548,-0.004638660112146894,-0.04832959921537844
"wall4_Ребята, напишите здесь свои комментарии, что у вас есть",-0.4729488699703965,-0.0995521661302397,0.026535002433254528,0.08094232269619572,0.015883297915561166,0.013803585730527387
"wall4_Сделай сайт, на котором они смогут тебе ответить",-0.462928475346738,0.6142686275129823,-0.11426536883437248,0.016298127436305338,0.03769529796641516,0.08459347971377287
savepicture_first_1,-0.4176531629001592,0.35221308803109713,1.0625908659609953,0.06981843986908422,0.47125350179615194,-0.693395167628595
savepicture_first_2,-0.4249052710757607,-0.427543721894416,0.5104862526604668,-0.21139252422324156,0.4171285168772077,0.6196944531217901
savepicture_first_3,-0.41623335055647653,0.4651966086606084,0.08500504490043542,0.9340592720550186,-2.1281547808913497,0.7427024015193283
savepicture_first_4,-0.4312665874726981,0.10229226156623798,-0.0010618075937081218,0.14491660112347535,-0.05052756960542206,0.13282211240178798
savepicture_first_5,-0.46012805115246114,-0.8130811833197065,-0.8568637445744449,-0.12219017822730802,-0.7986115411886763,-1.2853490876221065
savepicture_first_6,-0.3866086678180165,1.256298963683174,-1.6768851224898411,-2.152542276441161,0.16234596823457345,0.6500946741855492
savepicture_first_7,-0.4374861666714835,0.4710735441091705,-0.8897819312582202,0.55893115938556,0.6306955104801562,-2.487397197701836
savepicture_first_8,-0.3715578952509977,0.23823597195157603,-2.4540811624751084,3.2459796087150017,2.3413252959724367,1.1640710636349711
savepicture_first___MISSING__,2.216451751656299,-0.07692063951398614,-0.003909659866418915,0.008159545023923364,-0.002664387010867372,0.00043206082912003484
picturechoose_first_1,-0.4116198304173901,0.5559721787772717,1.1112893698103452,0.09928561328176201,0.44616123865381774,-0.8452253387997232
picturechoose_first_2,-0.44527516150644053,-0.45584670405845856,0.4162655594550477,-0.17091473665224216,0.31342769074092486,0.5026530898921298
picturechoose_first_3,-0.40999247878300904,0.617268871859993,0.012735380444928442,1.0239483788035708,-2.4607592619693195,0.8194331901108153
picturechoose_first_4,-0.4483753282926406,0.09329918854838144,-0.16344853344113938,0.176988209118169,-0.11837162740156468,-0.07142360974622779
picturechoose_first_5,-0.45188347940009393,-0.675816579019122,-1.0644235461022042,-0.029180016671203176,-0.774656330331015,-1.4443774927544801
picturechoose_first_6,-0.3980764516200283,1.3999160075305261,-1.8517898323861568,-2.4159532311608714,0.21590775015889294,0.7153977704396609
picturechoose_first_7,-0.4369053978974653,0.8238723364210284,-0.9920021290395948,0.7616315489100189,0.6721254619178256,-2.7834845031359428
picturechoose_first_8,-0.44549059661220053,0.38972972277479684,-2.603972017291379,3.5483044181638004,2.5006105745547766,1.3938187780733973
picturechoose_first___MISSING__,2.188965816904325,-0.05589230251134269,-0.005086734095355986,0.006534755592440699,0.003229397452741536,0.004028546678725655
picturechoosedelete_first_1,-0.39460279779738827,-0.08050800510512039,1.2711834710771204,0.0049523276965844935,0.46349452758922066,-0.7385398144960568
picturechoosedelete_first_2,-0.45961199848333123,-0.6086765191715386,0.33729196086727026,-0.1651528269921379,0.3111796602774449,0.5739837264181558
picturechoosedelete_first_3,-0.43285798681446064,0.5158275280666633,-0.04361340095088532,0.8506926654890021,-2.2341156523808765,0.5913680815605449
picturechoosedelete_first_4,-0.4702079920019435,-0.6289665381391943,0.3758760545982183,-0.23175999211367743,0.22767716789354084,0.5510540923026619
picturechoosedelete_first_5,-0.45982988994577395,-0.8962745666862135,-0.6420220095446202,-0.017577001821868055,-0.41884380524639453,-1.121948900898191
picturechoosedelete_first_6,-0.41627990987602564,1.167239815377732,-2.0249039432768767,-2.3836758037701355,0.39380014116828194,0.4155872898101937
picturechoosedelete_first_7,-0.38185759932274604,0.4134913692736916,-0.5817508628188331,0.4310004316698486,0.8559482284219412,-2.5389233932676953
picturechoosedelete_first_8,-0.45519687384670526,0.17152724516556594,-1.9649855293360088,2.8817353679085826,2.203679494381229,1.6176431441687427
picturechoosedelete_first___MISSING__,0.07703444093674103,0.03060235386277085,0.020538868687537355,0.019197295070315253,-0.025248060329024418,-0.0016718335109321002
citationcode_first_1,-0.45197408372258757,0.2713895869499599,1.3425216571311973,0.03674474424980008,0.6273142342403117,-1.0868190070951458
citationcode_first_2,-0.47600793554972465,-0.7531938644334206,0.5848180968843989,-0.24840804695120036,0.45630768816180467,0.6969854649239652
citationcode_first_3,-0.4593424712901869,0.17003470083893626,-0.009279456958046854,1.1721588592740413,-2.9187227339157262,0.9967370274342721
citationcode_first_4,-0.4544247911777739,-0.27544698231571557,0.04376455746927891,0.09421397249676915,0.007279750780453563,0.20165589807828965
citationcode_first_5,-0.4799441477276111,-1.033629573475956,-0.9684650635103104,-0.18977236135424236,-0.8675401857086883,-1.2995700801078789
citationcode_first_6,-0.42671851133306266,1.3731053360693595,-2.46636568051175,-3.3528631058668763,0.33671787152588994,1.1132538603296278
citationcode_first_7,-0.43631371159276217,0.3308062918133784,-1.4798661798057113,0.5826774861168442,0.73541060935405,-3.377969920970955
citationcode_first_8,-0.48396421009259916,-0.1144312322924202,-2.7168578002970287,3.446043818226224,2.478950460945616,1.1968381182367944
citationcode_first___MISSING__,0.391650164721519,0.3320605039210718,0.041421684177707405,0.00892320173721111,-0.029026622396357577,-0.021652488713875397
